lambda,rep,congestion_prom,congestion_freq,montevideo_prom,montevideo_freq,rio_prom,rio_freq,tormenta_prom,tormenta_freq,atraso_prom
0.1,43,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,44,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,45,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,46,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,47,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,48,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.1,49,0.23425925925925925,0.1925925925925926,0.16944444444444445,0.09814814814814815,0.0,0.0,0.0,0.0,8.755339805825244
0.2,0,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,1,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,2,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,3,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,4,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,5,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,6,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,7,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,8,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
0.2,9,1.4194444444444445,0.8185185185185185,27.616666666666667,0.9092592592592592,0.0,0.0,0.0,0.0,24.408823529411762
