lambda,rep,congestion_prom,montevideo_prom,montevideo_freq,viento_prom,viento_freq,tormenta_prom,tormenta_freq,atraso_prom
0.02,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000000000000002
0.02,49,0.0,0.0,0.0,0.002777777777777778,0.002777777777777778,0.0,0.0,4.242857142857145
0.1,0,4.878260869565217,4.4944444444444445,0.7351851851851852,0.14444444444444443,0.12777777777777777,0.0,0.0,18.86086956521739
0.1,1,3.817204301075269,1.0685185185185184,0.7287037037037037,0.3074074074074074,0.25,0.0,0.0,18.987096774193546
0.1,2,2.4842105263157896,1.6685185185185185,0.8675925925925926,0.1361111111111111,0.1361111111111111,0.0,0.0,13.357894736842095
0.1,3,3.7,2.966666666666667,0.4787037037037037,0.2175925925925926,0.17777777777777778,0.0,0.0,18.06
0.1,4,3.009433962264151,0.7620370370370371,0.387037037037037,0.12962962962962962,0.10185185185185185,0.0,0.0,15.6566037735849
0.1,5,5.152380952380953,6.363888888888889,0.9407407407407408,0.29259259259259257,0.25092592592592594,0.0,0.0,22.571428571428577
0.1,6,3.909090909090909,2.963888888888889,0.8212962962962963,0.17685185185185184,0.16111111111111112,0.0,0.0,18.072727272727263
0.1,7,3.8653846153846154,3.3444444444444446,0.9898148148148148,0.28703703703703703,0.2814814814814815,0.0,0.0,20.946153846153848
0.1,8,2.838709677419355,0.2611111111111111,0.2611111111111111,0.07685185185185185,0.07685185185185185,0.0,0.0,12.793548387096768
0.1,9,5.3130434782608695,5.9601851851851855,0.9305555555555556,0.5333333333333333,0.4722222222222222,0.0,0.0,26.617391304347827
0.1,10,4.572815533980583,1.761111111111111,0.7064814814814815,0.38425925925925924,0.3,0.0,0.0,23.483495145631064
0.1,11,2.97196261682243,0.0,0.0,0.15833333333333333,0.15833333333333333,0.0,0.0,15.14205607476635
0.1,12,2.9545454545454546,0.7388888888888889,0.7388888888888889,0.12314814814814815,0.11574074074074074,0.0,0.0,13.406818181818181
0.1,13,2.372549019607843,0.8768518518518519,0.8768518518518519,0.0712962962962963,0.0712962962962963,0.0,0.0,10.599999999999994
0.1,14,4.505263157894737,1.4185185185185185,0.4064814814814815,0.22777777777777777,0.22777777777777777,0.0,0.0,21.021052631578943
0.1,15,2.6021505376344085,0.6416666666666667,0.44166666666666665,0.09351851851851851,0.09166666666666666,0.0,0.0,12.72903225806451
0.1,16,4.87962962962963,3.39537037037037,0.7416666666666667,0.1648148148148148,0.14629629629629629,0.0,0.0,17.535185185185178
0.1,17,2.860215053763441,2.9824074074074076,0.6564814814814814,0.1259259259259259,0.11203703703703703,0.0,0.0,13.782795698924723
0.1,18,2.5543478260869565,0.4,0.4,0.25555555555555554,0.23425925925925925,0.0,0.0,14.676086956521734
0.1,19,3.106382978723404,1.287037037037037,0.7962962962962963,0.09259259259259259,0.09259259259259259,0.0,0.0,14.3127659574468
0.1,20,5.135135135135135,5.666666666666667,0.8481481481481481,0.26296296296296295,0.25,0.0,0.0,21.609009009009
0.1,21,2.2637362637362637,2.387962962962963,0.8305555555555556,0.21666666666666667,0.18981481481481483,0.0,0.0,14.742857142857137
0.1,22,1.5339805825242718,0.030555555555555555,0.018518518518518517,0.10648148148148148,0.10277777777777777,0.0,0.0,10.211650485436886
0.1,23,4.4,2.9833333333333334,0.4703703703703704,0.21666666666666667,0.1962962962962963,0.0,0.0,19.771428571428572
0.1,24,2.010204081632653,0.5648148148148148,0.5648148148148148,0.15185185185185185,0.1388888888888889,0.0,0.0,10.477551020408162
0.1,25,4.640776699029126,4.330555555555556,0.7833333333333333,0.25462962962962965,0.23425925925925925,0.0,0.0,19.182524271844652
