lambda,rep,congestion_prom,montevideo_prom,montevideo_freq,viento_prom,viento_freq,tormenta_prom,tormenta_freq,atraso_prom
0.1,6,2.625,0.6601851851851852,0.3398148148148148,0.0,0.0,0.0,0.0,11.205769230769228
0.1,7,2.792452830188679,2.2435185185185187,0.45740740740740743,0.0,0.0,0.0,0.0,9.675471698113206
0.1,8,2.9541284403669725,0.35833333333333334,0.35833333333333334,0.0,0.0,0.0,0.0,12.24220183486238
0.1,9,3.443396226415094,1.2518518518518518,0.8537037037037037,0.0,0.0,0.0,0.0,12.420754716981127
0.1,10,2.2242990654205608,0.0,0.0,0.0,0.0,0.0,0.0,9.13271028037383
0.1,11,2.6732673267326734,1.099074074074074,0.55,0.0,0.0,0.0,0.0,8.58019801980198
0.1,12,2.292929292929293,0.0,0.0,0.0,0.0,0.0,0.0,10.438383838383835
0.1,13,3.2589285714285716,3.977777777777778,0.9175925925925926,0.0,0.0,0.0,0.0,12.555357142857142
0.1,14,2.5398230088495577,0.9666666666666667,0.7722222222222223,0.0,0.0,0.0,0.0,12.184070796460174
0.1,15,2.1649484536082473,0.08518518518518518,0.08518518518518518,0.0,0.0,0.0,0.0,8.496907216494847
0.1,16,2.419047619047619,0.17962962962962964,0.10833333333333334,0.0,0.0,0.0,0.0,10.314285714285715
0.1,17,1.9666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,7.644444444444445
0.1,18,2.979591836734694,1.5277777777777777,0.43425925925925923,0.0,0.0,0.0,0.0,11.7734693877551
0.1,19,3.2818181818181817,2.6592592592592594,0.8962962962962963,0.0,0.0,0.0,0.0,11.672727272727265
0.1,20,2.450980392156863,0.11296296296296296,0.06574074074074074,0.0,0.0,0.0,0.0,10.835294117647052
0.1,21,2.27027027027027,0.0,0.0,0.0,0.0,0.0,0.0,8.96936936936937
0.1,22,2.74,1.6324074074074073,0.9203703703703704,0.0,0.0,0.0,0.0,11.219999999999995
0.1,23,2.45,1.6203703703703705,0.9555555555555556,0.0,0.0,0.0,0.0,10.209999999999997
0.1,24,3.027027027027027,0.5740740740740741,0.5740740740740741,0.0,0.0,0.0,0.0,11.491891891891884
0.1,25,2.02,2.490740740740741,0.6564814814814814,0.0,0.0,0.0,0.0,8.6
0.1,26,3.0217391304347827,0.5388888888888889,0.37222222222222223,0.0,0.0,0.0,0.0,10.795652173913043
0.1,27,3.4270833333333335,0.5592592592592592,0.38425925925925924,0.0,0.0,0.0,0.0,12.745833333333332
0.1,28,2.236559139784946,0.0,0.0,0.0,0.0,0.0,0.0,9.341935483870968
0.1,29,1.3780487804878048,0.0,0.0,0.0,0.0,0.0,0.0,6.295121951219513
0.1,30,3.917525773195876,2.0,0.6703703703703704,0.0,0.0,0.0,0.0,14.929896907216493
0.1,31,3.021505376344086,1.4416666666666667,0.29907407407407405,0.0,0.0,0.0,0.0,11.782795698924726
0.1,32,2.5625,0.9731481481481481,0.8027777777777778,0.0,0.0,0.0,0.0,10.9125
0.1,33,3.126126126126126,1.5629629629629629,0.5361111111111111,0.0,0.0,0.0,0.0,12.437837837837831
0.1,34,1.9793814432989691,0.8972222222222223,0.8972222222222223,0.0,0.0,0.0,0.0,8.909278350515462
0.1,35,2.925233644859813,2.2805555555555554,0.7814814814814814,0.0,0.0,0.0,0.0,10.908411214953265
0.1,36,3.212121212121212,2.3601851851851854,0.5175925925925926,0.0,0.0,0.0,0.0,12.236363636363633
0.1,37,3.6666666666666665,3.0425925925925927,0.899074074074074,0.0,0.0,0.0,0.0,13.076190476190472
0.1,38,2.9649122807017543,2.085185185185185,0.950925925925926,0.0,0.0,0.0,0.0,10.99473684210526
0.1,39,3.9913793103448274,3.2453703703703702,0.9527777777777777,0.0,0.0,0.0,0.0,15.0051724137931
0.1,40,2.5913978494623655,0.7379629629629629,0.7379629629629629,0.0,0.0,0.0,0.0,10.331182795698926
0.1,41,1.839080459770115,0.037037037037037035,0.024074074074074074,0.0,0.0,0.0,0.0,7.554022988505749
0.1,42,4.555555555555555,2.615740740740741,0.9638888888888889,0.0,0.0,0.0,0.0,15.03589743589743
0.1,43,4.08256880733945,1.3953703703703704,0.8824074074074074,0.0,0.0,0.0,0.0,14.847706422018346
0.1,44,3.280701754385965,2.113888888888889,0.7175925925925926,0.0,0.0,0.0,0.0,13.319298245614032
0.1,45,3.262135922330097,3.0407407407407407,0.6259259259259259,0.0,0.0,0.0,0.0,12.60970873786407
0.1,46,2.900900900900901,1.864814814814815,0.8296296296296296,0.0,0.0,0.0,0.0,11.239639639639632
0.1,47,3.626086956521739,1.3398148148148148,0.6944444444444444,0.0,0.0,0.0,0.0,12.365217391304343
0.1,48,2.911504424778761,0.0,0.0,0.0,0.0,0.0,0.0,11.644247787610617
